"AIRLINE_ID","CARRIER_CODE","CARRIER_NAME"
20195,"WI","Sky Lease Cargo"
20370,"KAQ","Kalitta Air LLC"
19790,"DL","Delta Air Lines Inc."
21309,"0RQ","TAG Aviation Espana S.L."
19805,"AA","American Airlines Inc."
20355,"US","US Airways Inc."
20119,"UX","Air Europa"
19977,"UA","United Air Lines Inc."
19547,"IB","Iberia Air Lines Of Spain"
21629,"KD","Western Global"
21568,"VJT","VistaJet Limited"
21131,"VSA","VistaJet Luftfahrtunternehmen GmbH"
21590,"1UQ","Gainjet Aviation SA"
21352,"0WQ","Avjet Corporation"
21569,"LDM","Lauda Motion GmbH"
20007,"5Y","Atlas Air Inc."
21308,"0QQ","TAG Aviation (UK) Ltd."
21440,"15Q","Air Alsie A/S"
21376,"L7","Lan Colombia"
20428,"VIQ","Volga-Dnepr Airlines"
21406,"CRV","Acropolis Aviation Ltd."
21735,"2KQ","Longtail Aviation Ltd."
21196,"0CQ","ACM AIR CHARTER GmbH"
21579,"DY","Norwegian Air Shuttle ASA"
20377,"X9","Omni Air Express"
19554,"LH","Lufthansa German Airlines"
19917,"5X","United Parcel Service"
21035,"TIQ","Tyrolean Jet Service"
21646,"24Q","Blue Jet SP Z o o"
21630,"1ZQ","Comlux Aruba NV"
21437,"13Q","Chartright Air Inc."
21652,"27Q","Jet Aviation Flight Services, Inc."
21147,"0Q","Flying Service N.V."
21160,"SVW","Global Jet Luxembourg, Sa"
21693,"2GQ","Cavok Air LLC"
