"PASSENGERS","AIRLINE_ID","CARRIER","CARRIER_NAME","UNIQUE_CARRIER_NAME","ORIGIN_COUNTRY","ORIGIN_COUNTRY_NAME","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_AIRPORT_ID","DEST_COUNTRY","DEST_COUNTRY_NAME","DEST","DEST_CITY_NAME","DEST_AIRPORT_ID","YEAR","MONTH","QUARTER"
0,20195,"WI","Sky Lease Cargo","Sky Lease Cargo","US","United States","MIA","Miami, FL",13303,"ES","Spain","SVQ","Seville, Spain",15060,2015,1,1
0,20370,"KAQ","Kalitta Air LLC","Kalitta Air LLC","US","United States","SEA","Seattle, WA",14747,"ES","Spain","ZXA","Rota, Spain",16334,2015,1,1
3,19790,"DL","Delta Air Lines Inc.","Delta Air Lines Inc.","US","United States","LAX","Los Angeles, CA",12892,"ES","Spain","BCN","Barcelona, Spain",10517,2015,1,1
3,21309,"0RQ","TAG Aviation Espana S.L.","TAG Aviation Espana S.L.","US","United States","SAV","Savannah, GA",14685,"ES","Spain","MAD","Madrid, Spain",13156,2015,1,1
14,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","DEN","Denver, CO",11292,"ES","Spain","BCN","Barcelona, Spain",10517,2015,1,1
16,19790,"DL","Delta Air Lines Inc.","Delta Air Lines Inc.","US","United States","FLL","Fort Lauderdale, FL",11697,"ES","Spain","BCN","Barcelona, Spain",10517,2015,1,1
23,19790,"DL","Delta Air Lines Inc.","Delta Air Lines Inc.","US","United States","SEA","Seattle, WA",14747,"ES","Spain","MAD","Madrid, Spain",13156,2015,1,1
28,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","SFO","San Francisco, CA",14771,"ES","Spain","MAD","Madrid, Spain",13156,2015,1,1
30,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","SJU","San Juan, PR",14843,"ES","Spain","BCN","Barcelona, Spain",10517,2015,1,1
31,19790,"DL","Delta Air Lines Inc.","Delta Air Lines Inc.","US","United States","SFO","San Francisco, CA",14771,"ES","Spain","MAD","Madrid, Spain",13156,2015,1,1
59,20355,"US","US Airways Inc.","US Airways Inc.","US","United States","SAN","San Diego, CA",14679,"ES","Spain","MAD","Madrid, Spain",13156,2015,1,1
78,19805,"AA","American Airlines Inc.","American Airlines Inc.","US","United States","SAN","San Diego, CA",14679,"ES","Spain","MAD","Madrid, Spain",13156,2015,1,1
