PASSENGERS,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER,CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_COUNTRY,ORIGIN_COUNTRY_NAME,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_COUNTRY,DEST_COUNTRY_NAME,YEAR,QUARTER,MONTH
0,LH,19554,Lufthansa German Airlines,9429D,I,LH,Lufthansa German Airlines,10517,BCN,"Barcelona, Spain",ES,Spain,13930,ORD,"Chicago, IL",US,United States,2015,2,5
0,UA,19977,United Air Lines Inc.,10874,A,UA,United Air Lines Inc.,13156,MAD,"Madrid, Spain",ES,Spain,10581,BGR,"Bangor, ME",US,United States,2015,2,5
0,L7,21376,Lan Colombia,71078,I,L7,Lan Colombia,13303,MIA,"Miami, FL",US,United States,13156,MAD,"Madrid, Spain",ES,Spain,2015,2,6
0,UA,19977,United Air Lines Inc.,10874,A,UA,United Air Lines Inc.,13156,MAD,"Madrid, Spain",ES,Spain,15070,SWF,"Newburgh/Poughkeepsie, NY",US,United States,2015,3,7
0,5Y,20007,Atlas Air Inc.,16087,I,5Y,Atlas Air Inc.,10517,BCN,"Barcelona, Spain",ES,Spain,12266,IAH,"Houston, TX",US,United States,2015,3,7
0,L7,21376,Lan Colombia,71078,I,L7,Lan Colombia,10205,AGP,"Malaga, Spain",ES,Spain,13303,MIA,"Miami, FL",US,United States,2015,3,9
0,UA,19977,United Air Lines Inc.,10874,A,UA,United Air Lines Inc.,13156,MAD,"Madrid, Spain",ES,Spain,10581,BGR,"Bangor, ME",US,United States,2015,3,8
0,UA,19977,United Air Lines Inc.,10874,A,UA,United Air Lines Inc.,13156,MAD,"Madrid, Spain",ES,Spain,15070,SWF,"Newburgh/Poughkeepsie, NY",US,United States,2015,3,8
0,2GQ,21693,Cavok Air LLC,71165,I,2GQ,Cavok Air LLC,11057,CLT,"Charlotte, NC",US,United States,13156,MAD,"Madrid, Spain",ES,Spain,2015,4,12
0,WI,20195,Sky Lease Cargo,16884,I,WI,Sky Lease Cargo,13303,MIA,"Miami, FL",US,United States,15060,SVQ,"Seville, Spain",ES,Spain,2015,1,1
0,KAQ,20370,Kalitta Air LLC,16683,I,KAQ,Kalitta Air LLC,14747,SEA,"Seattle, WA",US,United States,16334,ZXA,"Rota, Spain",ES,Spain,2015,1,1
0,UA,19977,United Air Lines Inc.,10874,A,UA,United Air Lines Inc.,10517,BCN,"Barcelona, Spain",ES,Spain,10581,BGR,"Bangor, ME",US,United States,2015,1,1
0,UA,19977,United Air Lines Inc.,10874,A,UA,United Air Lines Inc.,13156,MAD,"Madrid, Spain",ES,Spain,10581,BGR,"Bangor, ME",US,United States,2015,1,1
0,UA,19977,United Air Lines Inc.,10874,A,UA,United Air Lines Inc.,10517,BCN,"Barcelona, Spain",ES,Spain,10581,BGR,"Bangor, ME",US,United States,2015,1,2
0,UA,19977,United Air Lines Inc.,10874,A,UA,United Air Lines Inc.,13156,MAD,"Madrid, Spain",ES,Spain,10581,BGR,"Bangor, ME",US,United States,2015,1,2
0,KAQ,20370,Kalitta Air LLC,16683,I,KAQ,Kalitta Air LLC,13156,MAD,"Madrid, Spain",ES,Spain,11193,CVG,"Cincinnati, OH",US,United States,2015,1,3
0,UA,19977,United Air Lines Inc.,10874,A,UA,United Air Lines Inc.,10517,BCN,"Barcelona, Spain",ES,Spain,10581,BGR,"Bangor, ME",US,United States,2015,1,3
0,UA,19977,United Air Lines Inc.,10874,A,UA,United Air Lines Inc.,13156,MAD,"Madrid, Spain",ES,Spain,10257,ALB,"Albany, NY",US,United States,2015,1,3
1,0RQ,21309,TAG Aviation Espana S.L.,71063,I,0RQ,TAG Aviation Espana S.L.,10559,BFI,"Seattle, WA",US,United States,13156,MAD,"Madrid, Spain",ES,Spain,2015,2,5
1,0RQ,21309,TAG Aviation Espana S.L.,71063,I,0RQ,TAG Aviation Espana S.L.,13156,MAD,"Madrid, Spain",ES,Spain,10559,BFI,"Seattle, WA",US,United States,2015,2,5
1,0RQ,21309,TAG Aviation Espana S.L.,71063,I,0RQ,TAG Aviation Espana S.L.,10721,BOS,"Boston, MA",US,United States,15606,VLC,"Valencia, Spain",ES,Spain,2015,2,6
1,0RQ,21309,TAG Aviation Espana S.L.,71063,I,0RQ,TAG Aviation Espana S.L.,13156,MAD,"Madrid, Spain",ES,Spain,10721,BOS,"Boston, MA",US,United States,2015,2,6
1,0RQ,21309,TAG Aviation Espana S.L.,71063,I,0RQ,TAG Aviation Espana S.L.,13156,MAD,"Madrid, Spain",ES,Spain,11298,DFW,"Dallas/Fort Worth, TX",US,United States,2015,2,6
1,0RQ,21309,TAG Aviation Espana S.L.,71063,I,0RQ,TAG Aviation Espana S.L.,13156,MAD,"Madrid, Spain",ES,Spain,15167,TEB,"Teterboro, NJ",US,United States,2015,2,6
1,0RQ,21309,TAG Aviation Espana S.L.,71063,I,0RQ,TAG Aviation Espana S.L.,14831,SJC,"San Jose, CA",US,United States,15606,VLC,"Valencia, Spain",ES,Spain,2015,2,6
1,0RQ,21309,TAG Aviation Espana S.L.,71063,I,0RQ,TAG Aviation Espana S.L.,15167,TEB,"Teterboro, NJ",US,United States,13156,MAD,"Madrid, Spain",ES,Spain,2015,2,6
1,VJT,21568,VistaJet Limited,71123,I,VJT,VistaJet Limited,13303,MIA,"Miami, FL",US,United States,13156,MAD,"Madrid, Spain",ES,Spain,2015,3,7
1,0RQ,21309,TAG Aviation Espana S.L.,71063,I,0RQ,TAG Aviation Espana S.L.,13156,MAD,"Madrid, Spain",ES,Spain,11123,CPS,"St. Louis, MO",US,United States,2015,3,8
1,0RQ,21309,TAG Aviation Espana S.L.,71063,I,0RQ,TAG Aviation Espana S.L.,13156,MAD,"Madrid, Spain",ES,Spain,14685,SAV,"Savannah, GA",US,United States,2015,3,8
1,0RQ,21309,TAG Aviation Espana S.L.,71063,I,0RQ,TAG Aviation Espana S.L.,11259,DAL,"Dallas, TX",US,United States,13156,MAD,"Madrid, Spain",ES,Spain,2015,3,9
1,0RQ,21309,TAG Aviation Espana S.L.,71063,I,0RQ,TAG Aviation Espana S.L.,12264,IAD,"Washington, DC",US,United States,13156,MAD,"Madrid, Spain",ES,Spain,2015,3,9
1,0RQ,21309,TAG Aviation Espana S.L.,71063,I,0RQ,TAG Aviation Espana S.L.,13156,MAD,"Madrid, Spain",ES,Spain,11259,DAL,"Dallas, TX",US,United States,2015,3,9
1,0RQ,21309,TAG Aviation Espana S.L.,71063,I,0RQ,TAG Aviation Espana S.L.,13156,MAD,"Madrid, Spain",ES,Spain,13303,MIA,"Miami, FL",US,United States,2015,3,9
1,0RQ,21309,TAG Aviation Espana S.L.,71063,I,0RQ,TAG Aviation Espana S.L.,13303,MIA,"Miami, FL",US,United States,13156,MAD,"Madrid, Spain",ES,Spain,2015,3,9
1,0RQ,21309,TAG Aviation Espana S.L.,71063,I,0RQ,TAG Aviation Espana S.L.,13156,MAD,"Madrid, Spain",ES,Spain,14831,SJC,"San Jose, CA",US,United States,2015,4,10
1,0RQ,21309,TAG Aviation Espana S.L.,71063,I,0RQ,TAG Aviation Espana S.L.,14831,SJC,"San Jose, CA",US,United States,13156,MAD,"Madrid, Spain",ES,Spain,2015,4,10
1,0RQ,21309,TAG Aviation Espana S.L.,71063,I,0RQ,TAG Aviation Espana S.L.,10423,AUS,"Austin, TX",US,United States,13156,MAD,"Madrid, Spain",ES,Spain,2015,4,11
1,0RQ,21309,TAG Aviation Espana S.L.,71063,I,0RQ,TAG Aviation Espana S.L.,13156,MAD,"Madrid, Spain",ES,Spain,14685,SAV,"Savannah, GA",US,United States,2015,4,11
1,VJT,21568,VistaJet Limited,71123,I,VJT,VistaJet Limited,12197,HPN,"White Plains, NY",US,United States,14166,PMI,"Palma Mallorca, Spain",ES,Spain,2015,3,8
1,VJT,21568,VistaJet Limited,71123,I,VJT,VistaJet Limited,14166,PMI,"Palma Mallorca, Spain",ES,Spain,12197,HPN,"White Plains, NY",US,United States,2015,3,8
1,0RQ,21309,TAG Aviation Espana S.L.,71063,I,0RQ,TAG Aviation Espana S.L.,10599,BHM,"Birmingham, AL",US,United States,13156,MAD,"Madrid, Spain",ES,Spain,2015,4,12
