"id","quote","review","Airline_name"
"rn634798522","Abusrd delay and disrespect with their customers","
The company delay the flight in more than 8 hours, didn't give the previewed assistance foreseen by law and European rules, let ancient and children among the airport, supplying after 4 hours a bottle of water and a cold sandwich. When contacted about that answered that I could had taken another flight. This is not a company to take in...
","Air Europa"
"rn634636919","Beautiful aircraft, uncomfortable flight","
This was our first and probably last flight on Air Europa. Knowing that it is typically cold on flights, we dressed accordingly only to discover there were no individual ac vents to adjust and we were both hot the entire 9 hour flight. The seating was cramped and seats didn't recline enough for a trans-Atlantic flight. Granted it was a...
","Air Europa"
"rn634478046","Very pleasant flight","
The aircraft was very modern, the crew was friendly and efficient and the meal service was satisfactory. Arrival times on both flights 15 minutes ahead of time.
","Air Europa"
"rn634458245","Very good business class service","
Flew round trip opo to jfk, all in business. The service was very good and the planes clean. Business seats on the long haul were very good. The special vegetarian meals were excellent, and they even had one on the short haul from opo to madrid. That is the first time - and I fly a lot - i see...
","Air Europa"
"rn634335389","The tryp run well","
The chek-in was made in time and I don't have any problems. Fligth's on time, with a minimum delay. The seat is bad. I don't like the fact they did not offer us anything to eat
","Air Europa"
"rn634331385","Dreamliner Barcelona Madrid Old horse Madrid Punta Cana","
In the holiday package, the airline was Air Europa, we were taken with a great Dreamliner from Barcelona to Madrid, in flight Service only against payment.
From Madrid to Punta Cana we had an old plane with common screen and a pilot that had the belt signal connected all the flight, 8 hours, that theoretically means you can not even...
","Air Europa"
"rn634303913","Conditions of flight not made clear at time of booking","
Generally the airline seems to work well. However, when we checked in, we were told that no luggage was included in our airfare. We had flown from Rome to Madrid without any problem, and we checked our tickets carefully and no mention was made about luggage not being included on the return flight. I realise that this condition may have...
","Air Europa"
"rn634250445","Great new 787 this time with comfortable beds","
UX057 on a new 787 with roomy parallel configuration, allowing for wider 180 recline seats with really 2 separate toiletts was great when comparing to direct more expensive and uncomfortable direct flights. Great crew and service. This flight kind of balanced the umcomfortable less than 180 recline seat on the way from Sao Paulo to Madrid.
As mentioned before, I...
","Air Europa"
"rn633982201","Fine but poor meals","
Fine but poor meals, short space, they should offer more water during the flight, poor selection on films, the rest is ok
","Air Europa"
"rn633962058","Expensive hidden fees","
I thought i was getting a great deal when I bought the ticket, and nowhere in the website explains why they charge you $150 for your suitcase one way, and 150 EUROS coming back! One girl at the counter in NY told me i should have checked in online, it would have been only $100, but coming back from Spain...
","Air Europa"
"rn633909236","Nice experience ","
Brand new plane and very good service on board. The entertainment system worked well and the food was
The clerk at Guarulho's check-in was incredibly friendly and gave us clear instructions for our connection.
Be careful if you get the cheapest fare as the rates to dispatch the luggage are quite expensive (100EUR per bag for international flights), put it...
","Air Europa"
"rn633856621","Online Check-in + Extras Systems FULL of Bugs!","
I've flown Air Europa quite a few times now. After the first time, I was very unhappy with them, but since the flights were purchased through my job I had no say. Forget the baggage fees (you can get a pretty deep discount adding luggage online, and really should be checking if bags are included in your ticket so I...
","Air Europa"
"rn633717295","Pleasantly surprised","
Check-in, transfers, and boarding were without problem. The flight was comfortable and the service was good. Nothing out of the ordinary. One thing we didn't like was an extra US$10 charge to select a specific seat (in trying to get three together). We survived separated by a few rows.
","Air Europa"
"rn633432350","Hidden Baggage fees!","
Nov 14, 2018 11:51am Worst of the Worst! Be careful when booking air-travel with them and Expedia. You might think you are getting a good deal, until you get to the airport and are surprised with a $150 US dollar baggage fee from the airline for your first bag. Expedia does not disclose baggage fees prior to purchasing your airfare....
","Air Europa"
"rn633405232","Charges $100-$150 for first bag and no notice until you get to the airport","
Worst of the worst! They do not advise or disclose prior to purchasing an airfare, you will be charged $100-$150 UD Dollars for your first baggage! Do NOT purchase through them and call the airline before you purchase regarding baggage fees! Otherwise if you do not have the $$ when you get to the airport, it is either you leave...
","Air Europa"
"rn633371201","Long flight, poor food service","
The seats are not comfortable, very thin, so any move at your back you feel. The food was less then minimal and not tasty. Flight attendants were nice
","Air Europa"
"rn632874572","Worst airline I have ever travelled with","
First time flying with this Airline - never again! First trip from Gatwick to Madrid was delayed which resulted in us missing the next leg to Havana. We were told on the flight that the plane was waiting for us, but when we got into the airport it had left. There was no communication and we were all standing around...
","Air Europa"
"rn632787268","Won't let you change tickets","
If you want to change a ticket. You cant. Be prepared to buy a ticket with another airline. Their website doesnt work propperly and their customer service is terrible.
","Air Europa"
"rn632591034","Bucharest to Barcelona","
Turns out the flight was quite late, around 3+ hours or so. There may have been an explanation provided but I never heard one. It turned out that there was a cabin crew but no flight crew. As far as I could tell, no explanation was provided about why there were no pilots for the flight. Once we did get...
","Air Europa"
"rn631977289","Brandnew Dreamliner","
Flying 12h on a brandnew Dreamliner was highly enjoyable. The entertainment system is top-notch, and seat comfort is markedly better than on other big planes. I even managed to get 6h of sleep!
It was my first time flying Air Europa but for sure not the last.
","Air Europa"
"rn631976681","Got 2 seats for myself by friendly cabin staff","
I was so lucky to have the friendliest cabin attendants on my 11h flight from Santa Cruz/Bolivia to Madrid. Having been originally assigned a middle seat I had asked the attendant at the plane door whether she would kindly tell me if there was an available window seat. She came to my seat when boarding was completed and assigned me...
","Air Europa"
"rn631940417","excellent","
check-in and service on board excellent , the flight between MADRID-TELAVIV
was one of the better than we flight
","Air Europa"
"rn631936310","Good flight, Comfortable & Friendly","
Had read bad reviews so was pleasantly surprised. On time, good leg room, comfortable seat, friendly crew, catered for my dietary needs. Only complaint was having to pay €3 for ear phones, which whilst not a lot of money, I feel should be free on long haul flights.
","Air Europa"
"rn631794459","Pleasant Surprise","
This was my first time flying with AirEuropa. I purchased based on the flight times and cost, even though I had read mixed reviews online. Well, what a surprise! I found the check-in service to be very pleasant at both Miami International and Venice. The planes were new and clean. All flights were on time. Service on the plane was...
","Air Europa"
"rn631734230","Reliable","
This was my second time flying with AirEuropa and I felt it was always reliable and friendly with service. Despite some hiccups (I had a carry on luggage that travelled easily with me on the plane from JFK to Madrid to Lisbon but on my flight home, the same bag the Portuguese kiosk attendants made me check it despite pleaing...
","Air Europa"
"rn631240560","Excellent Domestic Flight on the Dreamliner","
A 35 minute flight on a new 787 from Madrid to Barcelona. Plane was immaculate, crew was friendly and flight was on time. Only downside was the chaotic boarding in Madrid. Would definately recommend
","Air Europa"
"rn630688220","Never Again","
My wife and I recently flew from London to Bogota with Air Europa. The experience was so bad that I wrote to the CEO jhidalgo@globalia.com explaining what had happened and asking if they might give an upgrade for the return journey to make up for the awful experience. I received a reply from Emma in customer ""services"" that said ""we...
","Air Europa"
"rn630292012","Nice surprise","
I traveled in this company due to a cancellation of TAP and I had a pleasant surprise. Although the crew were not as friendly as TAP's are, they were quite professional. The plane, a Boeing, presented in economy class a more comfortable chair and a more spacious place than the Airbus where I have traveled. It was a pleasant trip....
","Air Europa"
