id,quote,review,Airline_name
rn633815866,Pretty ok,"
Boarding by groups is a bit confusing, seeing that I like boarding last, but the flight was pleasant
",Iberia Air Lines Of Spain
rn633757898,They leave on time and get you there.,"
The flight arrived on time and really easy to transfer to my connecting flight. They have a booth with people that is working in it. So actually you can have service. TAP is the pits. They don't even have a permanent booth at the Barcelona airport. They had a piece of paper saying it's TAP and no one is at...
",Iberia Air Lines Of Spain
rn633737363,Rude air hostesses and staff,"
So bad things happen, sometimes flights can be delayed and you might loose a connectionS. It can happen I get it. Not all airlines respond the same way
We got a new connection flight with a 8h wait in Barajas, and we got a voucher to eat in McDonald’s from customer service. Each time you ask a questions they send...
",Iberia Air Lines Of Spain
rn633677353,Better than we exspected,"
Excellent service profesioaly carried out just what one should expect
Food of a good standard well served with a fine selection of wines
Beds flat and comtible for a good night sleep
Inflight entertainment could do with updating, latest films should be expected
In all We Will look forward to flying with them again
",Iberia Air Lines Of Spain
rn633664227,Upgrade to comfort level +,"
We flew Iberia airlines from LAX to Barcelona and were quite comfortable in the premium economy section. About 20 seats in a smaller cabin with meals included and a cute little welcome rest and refresh kit including socks, toothpaste and sleep mask. The seats were roomier than expected and there was plenty of entertainment inflight movie selection.
",Iberia Air Lines Of Spain
rn633659255,back to madrid,"
food OK although could be better, choice of beverages good and that includes a careful selection/ promotion of spanish wines
crew caring nicely of customers
",Iberia Air Lines Of Spain
rn633645273,"Not so bad,not so good","
As usual, Iberia offers you horrible food for dinner and try to take you to your destination as fast as possible without troubles.
The point is that they dont do anything to make you feel more confortable or to do the things better than other airlines.
So, bad food, good films, small seats and proffesional but cold crew.
",Iberia Air Lines Of Spain
rn633642901,nice gentle flight,"
Our business class flight from Chicago to Madrid and then returning a few weeks later was outstanding. We were able to get some sleep on the way to Spain, so we were ready to start our sightseeing trip. The food and drink was great as well as the attendants.
",Iberia Air Lines Of Spain
rn633639876,Very disappointing,"
There are very few good things to say about my Iberia flight from Miami to Madrid. I had upgraded from regular economy to premium economy. Not sure it was worth the extra cost. I’ve flown Iberia within European countries but this was the first time from US to Spain. The plane itself was in disrepair. Since I was in the...
",Iberia Air Lines Of Spain
rn633638540,Simply abandonned,"
We had completed a tour of Croatia and went to the Dubrovnik airport to fly to our next tour in Milan. When we arrived the flight had been cancelled with no other info. Strong winds in the Split area caused this cancellation we later found. The Info desk at the airport had no info on this at all. Dubrovnik airport...
",Iberia Air Lines Of Spain
rn633637501,Much more than expected,"
Very good, flight attendants were very nice, I really was expecting the worst but I must say it was a very nice flight.
The only issue was with my breakfast it was supposedly a Low sodium meal but it had canned tuna in it, very odd but not as important.
Also odd, my booking was for 2 but the system...
",Iberia Air Lines Of Spain
rn633637230,"Well done, Iberia!","
I upgraded to Premium Economy for my trip home from Spain and it made the trip even better the outbound journey. Great headphones, a reclining seat and an enhanced menu ended my trip on a high note. Service was good as well.
The only slight negative - the entertainment offered was not for me! Although there were lots of selections...
",Iberia Air Lines Of Spain
rn633504981,Worst flight,"
Thats not gonna work like that i know u r using freaking technology to be humble with me and to show your reputation
U guys ruined my vacation my stroller was very important i am suffering in lisbon
When i get off in madrid to take my flight to lisbon i down see ur crew out the by plane where...
",Iberia Air Lines Of Spain
rn633444492,On the fence about this airline,"
My husband and I were flying from Madrid, Spain to Toulouse on Iberia. It is the first time we have flown this airline and were skeptical due to very mixed reviews. Well, unfortunately here is another mixed review. We were due to depart the Madrid airport at 11:40 am then the flight was delayed, delayed, delayed...until FINALLY over an hour...
",Iberia Air Lines Of Spain
rn633377614,Awful experience.,"
Rushed to running to board connecting flight in Madrid. Cabin crew unhelpful and rude. Service on board terrible. On arrival in Miami we found our luggage had not travelled with us. Spoiled what should have been a great experience in Miami before departing on a cruise. Luggage was delivered to hotel on the last night of our stay. Trying to...
",Iberia Air Lines Of Spain
