id,quote,review,Airline_name
rn631387014,Disapoiting,"
The first flight we took gone well. But on the second (only 1 week later) they randomly changed the baggae rules and I had to bring my luggae with me on the plane. That ment that I couldn´t bring everything I wanted with me and had to throw one of the gifts from my trip to the trash. The flight...
",Lauda Motion GmbH
rn630757885,Nice long delay with no information,"
We boarded early, because the airline opened the early. When everyone was on board we just waited and waited. About 15 minutes later there was an announcement, not loud or legible enough, something about ground control.- Then we waited some more and finally about an hour late we left.
",Lauda Motion GmbH
rn630644918,They lost our baggage!!!!,"
I feel very unpleasant by service of this airline
Me and my mom went to the plane with our baggage, they told us there is no place for it so they will put it somewhere else. We trusted the stewardess and he took our baggage away. When we arrived to Rome we waited for our baggage and they told us...
",Lauda Motion GmbH
rn630241365,WORST FLIGHT EVER !,"
Outward flight was a shambles- HANDWRITTEN boarding passes took 2 and 1/2 hours, then on boarding told to sit anywhere we could find a space as our pre-booked premium seats were occupied. They had NO IDEA if all the passengers had boarded.
Return flight- Laudamotion check in staff were the only example of poor customer service we met with in...
",Lauda Motion GmbH
rn630239270,Vienna debacle,"
This airline failed to issue boarding passes and was forced to handwrite them resulting in a queuing time of two hours. Passengers at the end of the queue were forced to make a desperate dash across airport via customs to make the flight, as check in staff staff were not communicating with those at the gate some passengers missed their...
",Lauda Motion GmbH
rn629379020,Unethical treatment & concealed safety hazards,"
Me and my friend purchased seperate tickets for Laudamotion's flight leaving on the 19th October at 6am from Vienna to Chania, Crete, in hopes of a pleasant journey and good vacation in Greece for 6 days. I thought everything would be alright as I've flown with the same flight in July as well, had no problems then. But this time...
",Lauda Motion GmbH
rn628907151,Very good in matter of service for the price,"
There's a lot of written that this airline is not good... I must say for me it seemed VERY GOOD, especially for the price.
- Each time I flew it was on time
- Crew was friendly
- Plane fleet despite its age looks very fresh
- For a lowcost airline the legroom is generous
That means no issues at...
",Lauda Motion GmbH
rn624802860,All on time,"
Booth flights were on time, plane Old from Air Berlin , stewards okay, Service as well. Distance between Seats could be netter
",Lauda Motion GmbH
rn624517163,So much better than expected ,"
Never having flown a European discount airline, we had concerns based on reviews. But we needed to get to Mallorca, and the flight from Graz on Laudamotion (now part of Ryan Air) offered the best option at a reasonable time of day and the bonus of low fares was certainly enticing. We decided to take a chance. We read about...
",Lauda Motion GmbH
rn624248096,Without any issue,"
Laudamotion flights to Mallorca frequently. Our flight took off on time and there were no issues during the flight. Landing also on time.
",Lauda Motion GmbH
rn623675678,"Incorrect information, delays","
When we made the online check in, we received the information (also written on the boarding pass) that we can arrive at the check-in with two pieces of baggage. The smaller will be the carry-on bag, the bigger (max 10 kg, max 55x40x20 cm) will be labeled and put into the cargo, free of charge.
After queuing for about 25...
",Lauda Motion GmbH
rn619356404,Terrible service.,"
in Jul 2018 the flight from Palma to Berlin was canceled, still waiting for compensation.
The company proposed to change tickets to Dusseldorf instead of Berlin, and then transfer should have been provided (from Dusseldorf to Berlin). By the way ticket costs ~100 euro + trip time = 5 hours.
But, the company haven't provided any transfer, instead recommended to...
",Lauda Motion GmbH
rn617701494,Good Experience,"
My husband and I took a short flight from Paphos to Vienna this month. Everything went right according to schedule, from the check-in through boarding and landing. The plane was clean and comfy (referring to the fact that it is a low-cost company), the crew service was pleasing and the food (which costs extra) is ok. Bear in mind that...
",Lauda Motion GmbH
rn617621015,Aviation with speed,"
These planes are operated by Ryanair so be careful with your hand luggages as the rules are the same as Ryanair use. We ware lucky as without any additional fees they allowed our second baggades as well.
The cabin crew was extremly friendly and sporty :)
",Lauda Motion GmbH
rn617608436,Good airline but no guarantees to your luggage,"
The airline itself is good, we had a flight in time, a good aircraft and so on. But when we arrived in Tegel airport, we were listening, how airport workers are destroying our baggage (we could hear it through the wall). When our bag arrived, we have seen the damages. We came to the terminal A and complained about that,...
",Lauda Motion GmbH
rn617603493,"flight eventually never left, no info, no groundstaff, never again","
A horrible ending of a great holiday. We arrived early, about 5pm for a 8pm scheduled flight. We were already told there was going to be a 1 1/2 hr. delay. But once we were at the gate, the departure time and departure gate changed every half hr. Not nice when you're traveling with small kids who fell a sleep...
",Lauda Motion GmbH
rn617550508,Good flight,"
The flioght was delay and we must wait for one hour. Other things were good. Staff was wery pleased.
",Lauda Motion GmbH
rn617544237,Laudamotion experience - communication not good,"
Well, we flew on Saturday September 15th after quite a storm near Ballearic Islands. After getting to airport we spotted all flights were either delayed or cancelled. Length of delay was not communicated anywhere hence we were worried whether we fly at all. We purchased tickets through Ryanair for the flight operated by Laudamotion. We wanted to check and Ryanairs...
",Lauda Motion GmbH
rn617540429,Rip off and rude company,"
Flight got changed by Eurowings to Laudamotion. Got to airport was told not our flight was not in the system even though we had a confirmation letter from Laudamotion. After waiting for more than 2.5 hours at the worst unorganised airport (Santorini), told to go to another counter which we then had to pay€40 each for 1 Bag and another€55...
",Lauda Motion GmbH
rn617527488,"Bon rapport qualité / prix, Airbus A321 et bonne ambiance à Bord !","
On the occasion of a reservation made on the site of Ryanair, we discovered LaudaMotion (which Rayanair acquired 75% during this early 2018) ....
Good value for money, flying aboard a A321 + friendly staff + schedule respected :-)
Continue this way and you will have a lot of success from Stuttgart airport !!
",Lauda Motion GmbH
