id,quote,review,Airline_name
rn634203981,From Central Europe to Bilbao.,"
From Dresden and one-stop in Munich you can fly to Bilbao in less than six hours and know Central Europe.
",Lufthansa German Airlines
rn634141840,Mr,"
I travel often to Asia and Middle East and my family and I bought business class tickets with Lufthansa several months before the flying date, was very disappointed when tried to change the flying date I was told that to change the flying date my family and I had to pay for each ticket 700 Euros and if we were...
",Lufthansa German Airlines
rn634121735,A special airline that sees the customer at the center,"
that wat my first flight with Lufthansa from TLV to PLM and I'm surprised by the positive experience. first, all the flights (includes connections) left on time. seconde, the crew was very polite and courteous. Additionally they serve a hot meal and not only sandwiches-that its important in today's aviation world. I will definitely fly with you again.
",Lufthansa German Airlines
rn634084119,One of the highest standards,"
I am flying frequently with Lufthansa, mostly first and business class.
The service and i.p. food and wine quality and selection are exceptional. The service is excellent too and does not fall short behind the other Asian or Middle East airlines which enjoy a high reputation.
For me Lufthansa is still the No 1.
",Lufthansa German Airlines
rn634055424,Great Seats ! Average food !,"
This was my first travel in business class. And i must say the seats were extremely comfortable and service was pretty decent.Entire staff was polite and smiling. They would say a no also in a way that you would appreciate. No complaints with staff. They were great.
Food was average. I ordered asian vegetarian food. I think we would get...
",Lufthansa German Airlines
rn634044236,Flight experience,"
Great experience with Lufthansa. After a few very bumpy and rocky flights this year, I enjoyed the recent flight with Lufthansa back and forth. The personnel is very kind and gracious and also the airplane was clean and up-to-date.
Thanks for this great service experience.
",Lufthansa German Airlines
rn633997490,Worst experiece ever,"
The Lufthansa flight from Stockholm, Arlanda was delayed so at Frankfurt airport we had to run for the connecting flight to Atlanta. At the customs it was plenty of people waiting and in a hurry. It was very slow and no one helping out. When we finally got to our gate it was 5 minutes to departure and they asked...
",Lufthansa German Airlines
rn633995801,Enjoyable flight,"
Lufthansa airlines made a very long flight enjoyable. We had over 250 movies to choose from on our personal screen, excellent food, and good service.
",Lufthansa German Airlines
rn633968879,seating is painfully small for a transcontinental trip,"
No complaints with service or audio visual. Meals better than average. Issue is with seating configuration, 3-4-3, in economy. Impossible if you are average size and over 50. So tight you can't easily use your utensils to eat. Pay the extra $ and upgrade to premium economy. We tried but weren't successful and my husband ended up in ER the...
",Lufthansa German Airlines
rn633923539,The best you can have in Economy Class,"
Lufthansa is still an excellent option within the frame of reasonable European flight companies. Although flying economy, the flight was pleasant due to the excellent service abord.
",Lufthansa German Airlines
rn633917192,"Good connections, good service, too spicy food for children.","
In general we were satisfied with the flight and connections. The service was good.
The food on flight was ok but it was too spicy for children.
",Lufthansa German Airlines
rn633913033,"Gyors útnak indult, de hosszú lett","
Azért választottam a Lufthansa-t,mert a legrövidebb utazási idot ígérték. Ehhez képest 3 órás késéssel indultunk,amit már csak a reptéren tudtam meg, mert elore nem értesítettek. Majd a csatlakozáshoz Németországban is többet kellett így várni, ami szintén késve indult. A jegyvásárláskor nem tüntetik fel, hogy nem a terminálról szállítanak be és ki. Így ez a géphez való buszoztatás inkább a fapados...
",Lufthansa German Airlines
rn633877739,Excellent Experience,"
Round trip flight. Business class service was relaxing. The inflight service was attentive to one's every need. The meals and beverage service were better than we have experienced on similar flights and class offered by other airlines, particular U.S. carriers.
",Lufthansa German Airlines
rn633877483,Unfortunate Delay,"
First time we have flown with this airline. We anticipated exactly what we have experienced with Air Canada but we're disappointed.
The aircraft arrived late from its previous assignment. Not appreciable but a little discouraging nonetheless. It was a precursor of what was yet to come.
The flight plan was filed before the plane even arrived at the gate. We...
",Lufthansa German Airlines
rn633872399,updated aircraft with great service,"
Newer air craft with personal screen on each seat. Great service, reasonable food and snack. Clean and comfortable. The only draw back is : when the front passengers put their seat in the recline position( it might be comfortable for them), but the head of seat( and the screen) would almost reach my nose. I pray for a considerate traveler...
",Lufthansa German Airlines
rn633850094,"Great food, good service ","
I was very pleased with my last trip on Lufthansa. Is nice to be greeted with a smiling crew in spotless uniforms and clean modern plane. The plane was not a big one, but was still pretty comfortable. The food was very good and the movie selection around 150 movie titles was awesome for the long flight. Nice touches of...
",Lufthansa German Airlines
rn633847985,Never on time,"
I take this route usually each month and the flight never leaves on time.
Usually it’s late 20/30 mins, but a couple of times it was late for 2 hours.
They also don’t care about smoothing the connecting flights. Last time when it arrived with delay in Munich, it was after boarding time for the next plane. So we had...
",Lufthansa German Airlines
rn633830487,Better than Expected,"
Flight was actually operated by one of their subsidiary airlines, Air Dolomiti, but was fine from beginning to end. No issues at all
",Lufthansa German Airlines
rn633826530,A perfect flight again.,"
A1 all the way. A trouble free trip with assistance during the Munich transfer within 40 minutes.
Will use again that company.
",Lufthansa German Airlines
rn633818299,"Flight service was excellent-just keep in mind flying ""light"" means you pay to check baggage","
Service was excellent. I also splurged for the additional leg room which made it especially a pleasure. Its pretty much the legroom of a first class seat! Just did not realized when i signed up to fly ""light"" (which was the price on orbitz), that meant I had to pay for checked baggage, which seems absurd to me on an...
",Lufthansa German Airlines
rn633800783,I wish she never responded with such an answer,"
"" I don't make those sandwiches and have nothing else to offer you "" that was the response of the stewardess on the Lufthansa flight when I told her that the sandwich offered was cold and tasteless. As a matter of fact, that was the worst, supposedly cheese, sandwich I ever had.
The plane was spotless clean, seats comfortable, but...
",Lufthansa German Airlines
