id,quote,review,Airline_name
rn634418020,Their Dreamliner was Dreamy,"
The new 787 Boeing Dreamliner was fabulous
Very well appointed with cool touch screen capabilities with amenities and options galore
Staff was out of this world so friendly and accomadating
Very pleasant 10 hour trip
",Norwegian Air Shuttle ASA
rn634389799,Give this airline a break ,"
I was really worried about flying with Norwegian as they have such bad press. I even found a whole Facebook page dedicated to sharing horror stories about them. However we flew out to New York with Norwegian and the whole experience was seamless. At Gatwick it was very quick and easy to check in, bordered on time, staff very friendly,...
",Norwegian Air Shuttle ASA
rn634333705,YOU GET WHAT YOU PAY FOR,"
Nice new plane. Comfortable. Staf well trained, politeand helpful. Nothing is free on board, you have to buy everything. But that is what you are informed about, you get what you pay for, which is honest.
Not so nice was, that my flight had to be changed, due to a change of time tables, I assume, becai¡use I was not...
",Norwegian Air Shuttle ASA
rn634292133,Terrible,"
The Norwegian JFK personnel are very rude, disrespectful and lack of customer service. The counter personnel processed our paperwork, we had overweight on the luggage, we distributed the weight to other bags, however, on our return who assisted us was not on her spot.
The paperwork got lost and the other counter personnel didn’t know where or who she was....
",Norwegian Air Shuttle ASA
rn634264252,Need to learn to communicate better with their customers,"
We had to wait for two hours to pick our luggage and nobody came to inform us as to why we had to wait for that long. Even after all passengers started complaining they did not show up and left some airport contractors to deal with about 200 vey upset passengers.
",Norwegian Air Shuttle ASA
rn634246406,Possibly the best of the low cost airlines,"
Nice new aircraft clean comfortable and friendly staff. Better entertainment options than most. Would be happy to spend 4 hours on these planes where as my limit on a Ryanair is no moor than 2.
",Norwegian Air Shuttle ASA
rn634235107,Impressive,"
Traveled to Singapore and decided to upgrade on both legs to premium economy.
I have never flown Norwegian before but would throughly recommend them.
Service and value for money put them on par with Virgin and BA.. Given the long flight premium upgrade was well worth it.. Large reclineable seat free drinks and food all through fly. Great customer service...
",Norwegian Air Shuttle ASA
rn634226302,Poor,"
Checked in on line minutes after on line check in was available and allocated seats at back of plane. Tried to change them but system would not allow this to happen. Tried to change seats at check at airport told not possible.
The seats were uncomfortable, there were noisy children all around, the overhead lockers were stuffed to breaking point,...
",Norwegian Air Shuttle ASA
rn634217917,"Excellent, efficient and easy Norwegian Airline","
From check in at Gatwick to check in at JFK everything was simple, smooth and more than satisfactory. Aircraft was new, seat comfy with good leg room. Food was very nice and the touch screen was easy to use. Snow in New York on return caused chaos on the roads so most passengers arrived very late for check in but...
",Norwegian Air Shuttle ASA
rn634209485,I like Norwegian,"
Good price and new airplane. Food was not included in the flight price, so we bought some snakcs - and they were better than we ecpected.
",Norwegian Air Shuttle ASA
